;name;2012;2013;2014;2015;2016;2017;2018
NL01483;Rotterdam-Botlek_A15;113.221;107.388;102.846;108.892;-83.917;-;-
NL01485;Rotterdam-Hoogvliet;81.8;76.992;79.583;73.338;71.192;74.029;65.02
NL01486;Rotterdam-Pernis;70.463;84.004;79.537;89.638;-;-;-
NL01487;Rotterdam-Pleinweg;88.754;91.567;83.042;96.737;97.525;85.162;80.59
NL01488;Rotterdam-Zwartewaalstraat;72.008;73.255;64.792;65.308;66.554;67.508;68.17
NL01489;Ridderkerk-A16;102.342;91.496;90.192;86.642;79.046;84.321;83.76
NL01491;Overschie-A13;95.65;99.254;90.377;79.296;88.729;88.688;88.4
NL01493;Rotterdam-Statenweg;93.867;89.942;88.671;91.604;100.063;92.592;88.23
NL01494;Schiedam-A.Arienstraat;74.367;81.171;78.313;78.183;78.15;74.592;72.32
NL01495;Maassluis-Kwartellaan;80.264;103.683;84.275;79.129;78.796;70.162;76.56
NL01496;Rotterdam HvHolland;89.504;105.838;85.338;90.492;99.35;99.323;79.56
NL01908;Alblasserdam-Ruigenhil;-;-;82.667;-;-;77.529;74.7
NL10107;Posterholt-Vlodropperweg;49.453;56.417;49.229;42.769;53.667;57.148;41.67
NL10131;Vredepeel-Vredeweg;56.947;54.925;47.722;41.956;57.943;51.533;45.71
NL10133;Wijnandsrade-Opfergeltstraat;49.292;64.106;45.693;41.792;49.079;47.645;38.75
NL10136;Heerlen-Looierstraat;90.865;68.472;76.068;70.537;72.283;59.541;62.35
NL10137;Heerlen-Deken Nicolayestraat;66.739;65.194;-;-;-;-;-
NL10138;Heerlen-Jamboreepad;-;-;48.501;45.064;53.395;52.755;43.84
NL10227;Budel-Toom;51.116;-;-;-;-;-;-
NL10230;Biest Houtakker-Biestsestraat;54.414;81.078;70.445;68.453;94.416;75.556;-
NL10235;Huijbergen-Vennekenstraat;52.344;54.489;52.926;47.194;58.398;51.96;49.92
NL10236;Eindhoven-Genovevalaan;79.532;74.215;68.334;59.28;67.59;65.204;57.23
NL10237;Eindhoven-Noordbrabantlaan;88.98;75.268;73.328;76.581;73.45;71.944;67.54
NL10240;Breda-Tilburgseweg;-;81.343;73.152;81.179;74.296;86.87;74.02
NL10241;Breda-Bastenakenstraat;74.028;61.396;57.048;57.666;66.023;62.604;61.12
NL10245;NL10245;60.861;-;-;-;-;-;-
NL10246;Fijnaart-Zwingelspaansedijk;65.186;59.932;61.897;54.544;58.166;60.477;50.61
NL10247;Veldhoven-Europalaan;61.613;65.637;54.007;49.282;59.155;61.644;50.5
NL10301;Zierikzee-Lange Slikweg;58.216;56.16;57.64;47.405;59.465;56.585;49.72
NL10318;Philippine-Stelleweg;-56.752;61.099;53.277;49.14;52.276;59.251;50.47
NL10404;Den Haag-Rebecquestraat;92.073;88.792;75.801;70.172;87.513;88.198;65.67
NL10411;Schipluiden;82.169;-;-;-;-;-;-
NL10418;Rotterdam-Schiedamsevest;78.595;71.446;70.063;64.14;72.489;71.712;72.67
NL10433;Vlaardingen-Floreslaan;76.29;89.707;79.713;75.854;75.861;72.32;-
NL10437;Westmaas-Groeneweg;61.933;59.735;69.075;52.971;54.591;54.658;47.77
NL10442;Dordrecht-Bamendaweg;68.135;62.201;58.131;62.835;63.992;57.318;52.4
NL10444;De Zilk-Vogelaarsdreef;56.333;64.361;50.246;51.454;52.36;53.906;48.74
NL10445;Den Haag-Amsterdamse Veerkade;98.878;86.66;81.767;82.974;96.249;95.72;74.83
NL10446;Den Haag-Bleriotlaan;-;80.809;66.478;80.762;75.832;80.022;60.91
NL10520;Amsterdam-Florapark;88.68;-;-;-;-;-;-
NL10538;Wieringerwerf-Medemblikkerweg;79.108;71.38;58.569;58.892;53.76;54.521;51.24
NL10547;Hilversum-Johannes Geradtsweg;74.855;78.295;60.784;60.87;65.166;57.542;-
NL10548;NL10548;73.702;-;-;-;-;-;-
NL10549;Laren-Jagerspad;66.938;53.943;51.885;55.577;59.534;53.163;-
NL10550;Haarlem-Schipholweg;-;-;-;66.025;77.731;75.096;65.1
NL10617;Biddinghuizen-Kuilweg;-;-;-;-;53.569;44.991;45.59
NL10631;Biddinghuizen-Hoekwantweg;54.231;46.718;37.309;45.835;-;-;-
NL10633;Zegveld-Oude Meije;53.109;47.479;44.287;46.859;52.776;46.824;45.14
NL10636;Utrecht-Kardinaal de Jongweg;80.89;72.998;72.635;68.359;71.502;65.597;62.72
NL10639;Utrecht-Constant Erzeijstraat;88.081;75.734;78.204;71.237;75.557;-67.981;66.37
NL10641;Breukelen-A2;-89.097;72.015;81.501;73.433;79.711;67.116;73.98
NL10643;Utrecht-Griftpark;-;-;65.215;58.339;65.178;58.762;51.2
NL10644;Cabauw-Wielsekade;-52.763;61.123;49.179;48.534;55.906;50.56;51.88
NL10722;Eibergen-Lintveldseweg;49.813;41.308;43.658;42.688;50.96;-44.264;-43.73
NL10738;Wekerom-Riemterdijk;54.439;51.292;44.63;45.123;52.362;46.108;40.17
NL10741;Nijmegen-Graafseweg;77.616;74.573;79.644;68.368;74.94;71.459;60.5
NL10742;Nijmegen-Ruyterstraat;69.108;58.468;58.83;54.929;64.091;63.657;56.18
NL10807;Hellendoorn-Luttenbergerweg;52.662;43.834;42.587;41.25;52.325;-49.535;40.98
NL10818;Barsbeek-De Veenen;53.925;39.305;39.43;38.349;47.011;48.975;39.62
NL10918;Balk-Trophornsterweg;61.029;44.359;36.521;42.161;51.806;45.972;48.41
NL10929;Valthermond-Noorderdiep;46.766;-39.925;40.517;39.179;43.512;37.331;41.61
NL10934;Kollumerwaard-Hooge Zuidwal;50.682;44.511;35.657;38.057;44.798;36.238;-41.87
NL10937;Groningen-Europaweg;76.234;67.981;56.685;58.325;79.832;70.586;59.61
NL10938;Groningen-Nijensteinheerd;57.538;42.608;35.077;42.945;48.303;46.638;39.99
NL49002;Amsterdam-Haarlemmerweg;114.667;105.542;106.333;95.296;108.892;89.779;90.97
NL49003;Amsterdam-Nieuwendammerdijk;82.625;67.375;57.375;53.033;69.45;66.565;58.82
NL49007;Amsterdam-Einsteinweg;110.917;109.375;95.739;91.175;99.525;93.408;91.14
NL49012;Amsterdam-Van Diemenstraat;96.792;94.0;78.333;80.421;95.804;81.361;82.67
NL49014;Amsterdam-Vondelpark;70.417;79.458;59.25;54.521;64.813;64.058;59.08
NL49017;Amsterdam-Stadhouderskade;89.0;83.75;74.713;71.292;76.975;71.921;78.22
NL49019;Amsterdam-Oude Schans;81.739;-87.75;66.029;62.592;72.992;71.233;68.57
NL49020;Amsterdam-Jan van Galenstraat;98.25;-93.75;90.733;91.737;102.704;85.633;92.04
NL49021;Amsterdam -Kantershof;73.25;57.833;60.955;51.442;63.6;58.487;55.82
NL49022;Amsterdam-Ookmeer;82.043;75.348;68.727;57.465;71.958;63.171;60.09
NL49546;Zaanstad-Hemkade;109.917;80.958;76.0;73.1;76.617;75.808;-83.81
NL49551;IJmuiden-Kanaalstraat;71.292;75.0;69.261;58.658;73.692;61.587;82.47
NL49553;Wijk aan Zee-De Banjaert;65.208;212.938;64.696;59.987;71.158;67.779;60.26
NL49561;Badhoevedorp-Sloterweg;85.696;251.183;75.25;69.483;76.412;80.858;64.99
NL49564;Hoofddorp-Hoofdweg;76.5;207.854;62.004;58.208;76.979;68.533;60.65
NL49565;Oude Meer-Aalsmeerderdijk;79.375;71.143;73.667;66.529;67.329;71.395;57.75
NL49701;Zaandam-Wagenschotpad;88.042;76.75;74.348;67.75;72.646;67.467;65.18
NL49703;Spaarnwoude-Machineweg;72.0;72.042;59.771;58.146;64.933;64.025;57.69
NL49704;Zaanstad-Hoogtij;81.522;81.333;105.87;74.025;77.004;74.804;77.8

Alle meetpunten
* = Minder dan 90% van de mogelijke dagwaarden beschikbaar.
Het RIVM actualiseert de gepresenteerde kentallen medio maart. Wij raden u aan gebruik te maken van de dataset die medio maart beschikbaar is.
microgram/m3
