;name;2012;2013;2014;2015;2016;2017;2018
NL01482;NL01482;115.004;153.304;91.375;82.058;-;-;-
NL01483;Rotterdam-Botlek_A15;113.854;134.067;98.987;89.204;-;-;-
NL01485;Rotterdam-Hoogvliet;100.322;69.833;77.504;78.521;53.43;87.175;77.9
NL01486;Rotterdam-Pernis;-;-;-;79.858;-;-;-
NL01487;Rotterdam-Pleinweg;81.996;67.129;82.671;87.237;58.779;79.657;78.24
NL01488;Rotterdam-Zwartewaalstraat;76.129;64.737;79.033;81.208;55.083;79.679;114.7
NL01489;Ridderkerk-A16;95.987;64.537;74.379;83.4;59.612;80.433;77.49
NL01491;Overschie-A13;79.146;66.412;71.217;86.75;57.771;81.838;72.62
NL01493;Rotterdam-Statenweg;77.971;70.154;78.204;86.967;52.842;81.258;81.2
NL01494;Schiedam-A.Arienstraat;67.433;65.108;71.923;81.133;56.53;-81.804;78.02
NL01495;Maassluis-Kwartellaan;91.741;64.737;76.737;71.727;50.543;75.078;72.6
NL01496;Rotterdam HvHolland;91.921;352.479;74.079;76.675;53.337;99.138;87.77
NL01908;Alblasserdam-Ruigenhil;-;-;78.162;92.158;55.587;80.129;83.81
NL10131;Vredepeel-Vredeweg;112.34;116.582;75.425;76.643;57.763;88.217;76.39
NL10133;Wijnandsrade-Opfergeltstraat;104.666;93.569;99.598;137.657;43.043;75.417;65.02
NL10136;Heerlen-Looierstraat;102.952;107.931;96.921;148.18;55.95;67.203;67.68
NL10137;Heerlen-Deken Nicolayestraat;97.022;93.119;-;-;-;-;-
NL10138;Heerlen-Jamboreepad;-;-;-87.658;143.227;72.697;74.403;-62.99
NL10230;Biest Houtakker-Biestsestraat;125.907;70.86;69.613;76.057;60.643;94.403;85.23
NL10235;Huijbergen-Vennekenstraat;98.611;79.059;72.292;77.017;52.537;92.472;80.23
NL10236;Eindhoven-Genovevalaan;-;-41.815;65.623;115.577;64.003;87.397;82.84
NL10237;Eindhoven-Noordbrabantlaan;115.062;75.428;66.214;80.643;58.459;83.63;73.5
NL10240;Breda-Tilburgseweg;-119.395;70.794;80.231;73.283;61.797;93.817;85.01
NL10241;Breda-Bastenakenstraat;116.594;68.148;70.417;81.71;58.777;69.443;86.13
NL10243;De Rips-Blaarpeelweg;-119.586;70.623;64.344;71.577;-;-;-
NL10244;De Rips-Klotterpeellaan;-116.623;-76.384;68.923;72.003;-;-;-
NL10245;NL10245;111.463;-;-;-;-;-;-
NL10246;Fijnaart-Zwingelspaansedijk;107.552;67.067;70.279;80.217;55.897;-93.817;86.74
NL10247;Veldhoven-Europalaan;123.472;-77.654;-63.724;75.363;61.55;86.403;79.56
NL10312;NL10312;-72.995;-;-;-;-;-;-
NL10318;Philippine-Stelleweg;68.603;-82.283;75.478;84.857;70.937;93.71;78.24
NL10319;Nieuwdorp - Coudorp;74.544;72.887;-;-;-;-;-
NL10404;Den Haag-Rebecquestraat;104.052;71.35;78.55;103.491;74.67;93.923;78.28
NL10418;Rotterdam-Schiedamsevest;105.622;74.977;73.495;93.07;68.11;96.323;80.54
NL10432;NL10432;103.697;-;-;-;-;-;-
NL10433;Vlaardingen-Floreslaan;95.403;66.245;86.358;91.417;53.905;85.87;-
NL10437;Westmaas-Groeneweg;-103.79;70.852;70.064;77.337;56.361;86.19;77.5
NL10442;Dordrecht-Bamendaweg;104.454;77.013;61.539;80.377;53.763;92.857;77.0
NL10444;De Zilk-Vogelaarsdreef;-100.092;71.273;83.648;70.67;58.723;82.19;66.78
NL10445;Den Haag-Amsterdamse Veerkade;104.379;76.0;73.268;99.737;75.31;106.67;75.61
NL10446;Den Haag-Bleriotlaan;95.56;69.932;65.969;100.207;62.146;-97.017;76.39
NL10447;Leiden-Willem de Zwijgerlaan;107.916;68.364;78.436;-;-;-;-
NL10520;Amsterdam-Florapark;66.463;-;-;-;-;-;-
NL10538;Wieringerwerf-Medemblikkerweg;89.703;63.63;90.731;71.523;72.537;82.617;-
NL10545;Amsterdam-A10-West;105.915;71.744;85.928;93.07;74.083;-89.817;-
NL10547;Hilversum-Johannes Geradtsweg;102.179;74.574;66.876;77.923;73.71;93.07;-
NL10548;NL10548;102.679;-;-;-;-;-;-
NL10549;Laren-Jagerspad;100.843;68.328;62.95;68.377;72.323;86.851;-
NL10550;Haarlem-Schipholweg;-;-;-;92.857;72.27;91.79;69.38
NL10617;Biddinghuizen-Kuilweg;-;-;-;-;83.523;86.072;65.76
NL10631;Biddinghuizen-Hoekwantweg;96.63;144.75;74.201;65.977;88.057;-;-
NL10633;Zegveld-Oude Meije;114.138;74.688;61.273;84.18;-69.657;85.603;68.48
NL10636;Utrecht-Kardinaal de Jongweg;-111.481;-63.778;66.003;92.857;63.683;98.371;73.12
NL10639;Utrecht-Constant Erzeijstraat;100.27;68.889;65.27;111.894;67.737;127.254;117.28
NL10641;Breukelen-A2;107.042;66.211;60.802;81.657;67.31;89.817;72.27
NL10644;Cabauw-Wielsekade;-;73.947;68.51;70.563;49.443;74.552;70.6
NL10722;Eibergen-Lintveldseweg;89.732;75.413;63.507;73.763;86.617;94.587;68.16
NL10728;Apeldoorn-Stationsstraat;-84.7;-;-;-;-;-;-
NL10738;Wekerom-Riemterdijk;-97.619;70.057;70.556;77.87;80.323;96.924;74.83
NL10741;Nijmegen-Graafseweg;111.161;-81.668;75.968;104.493;83.843;94.197;81.01
NL10742;Nijmegen-Ruyterstraat;-107.25;-;-;-;-;-;-
NL10743;NL10743;98.07;-;-;-;-;-;-
NL10807;Hellendoorn-Luttenbergerweg;72.203;64.86;82.892;71.15;88.003;88.163;62.4
NL10818;Barsbeek-De Veenen;79.655;-61.063;75.997;77.337;92.634;81.337;52.14
NL10918;Balk-Trophornsterweg;80.37;59.124;70.529;79.523;85.497;80.562;60.06
NL10929;Valthermond-Noorderdiep;75.257;-125.71;84.122;63.95;95.808;82.563;47.74
NL10934;Kollumerwaard-Hooge Zuidwal;67.714;62.026;71.862;70.117;72.938;79.257;70.88
NL10937;Groningen-Europaweg;83.41;69.153;78.468;95.31;87.352;98.983;70.62
NL49007;Amsterdam-Einsteinweg;108.925;70.929;97.85;86.138;73.15;86.608;69.15
NL49012;Amsterdam-Van Diemenstraat;100.179;79.925;84.9;88.561;73.513;83.904;86.93
NL49014;Amsterdam-Vondelpark;94.513;68.304;82.579;80.433;63.017;78.575;64.47
NL49016;Amsterdam-Westerpark;97.95;61.121;79.421;80.474;71.826;81.638;66.79
NL49017;Amsterdam-Stadhouderskade;96.318;69.3;94.006;81.921;68.875;82.104;64.19
NL49020;Amsterdam-Jan van Galenstraat;-;-;-;88.771;69.463;84.633;70.96
NL49546;Zaanstad-Hemkade;94.8;141.329;82.063;97.504;71.987;80.929;73.4
NL49551;IJmuiden-Kanaalstraat;100.567;75.438;87.296;77.763;73.211;79.6;78.69
NL49553;Wijk aan Zee-De Banjaert;93.838;79.054;84.896;88.471;75.804;81.692;75.83
NL49556;De Rijp-Oostdijkje;86.4;59.821;79.321;75.925;73.188;75.138;62.57
NL49561;Badhoevedorp-Sloterweg;99.592;65.675;83.758;81.563;64.609;78.958;68.64
NL49564;Hoofddorp-Hoofdweg;97.213;72.275;84.15;80.146;58.533;81.646;69.06
NL49565;Oude Meer-Aalsmeerderdijk;96.859;67.904;71.704;82.258;64.696;83.883;69.13
NL49570;Beverwijk-Creutzberglaan;90.455;60.096;85.371;83.029;77.945;77.942;65.85
NL49572;Velsen-Staalstraat;93.963;58.929;81.246;84.088;68.708;77.563;74.53
NL49573;Velsen-Reyndersweg;118.833;419.079;111.558;149.25;105.943;123.621;356.4
NL49701;Zaandam-Wagenschotpad;94.783;63.971;78.75;86.508;75.808;88.825;68.41
NL49703;Spaarnwoude-Machineweg;95.829;71.096;80.546;87.583;67.022;80.804;65.94
NL49704;Zaanstad-Hoogtij;91.638;64.533;86.517;89.021;78.544;84.558;72.73

Alle meetpunten
* = Minder dan 90% van de mogelijke dagwaarden beschikbaar.
Het RIVM actualiseert de gepresenteerde kentallen medio maart. Wij raden u aan gebruik te maken van de dataset die medio maart beschikbaar is.
microgram/m3
